Country,totalFunding,year,countryCode
Guatemala,19862247,2016,GTM
Not specified,2058440911,2016,
Kenya,209677010,2016,KEN
Central African Republic,273179880,2016,CAF
Somalia,674529655,2016,SOM
Mozambique,75299913,2016,MOZ
Bangladesh,38306397,2016,BGD
Syrian Arab Republic,2581324623,2016,SYR
Yemen,1781277106,2016,YEM
Iraq,1908931827,2016,IRQ
Mali,205354473,2016,MLI
Chad,312293657,2016,TCD
Colombia,58037958,2016,COL
Ukraine,246603679,2016,UKR
Haiti,227105688,2016,HTI
Angola,13150015,2016,AGO
Sudan,642282231,2016,SDN
Tajikistan,18682680,2016,TJK
Ethiopia,1323668747,2016,ETH
Afghanistan,532927796,2016,AFG
Jordan,900038167,2016,JOR
Indonesia,19847507,2016,IDN
Madagascar,62936935,2016,MDG
South Sudan,1403993067,2016,SSD
Zimbabwe,231355870,2016,ZWE
Togo,368528,2016,TGO
Fiji,43684677,2016,FJI
Liberia,18409803,2016,LBR
Ecuador,50542488,2016,ECU
Uganda,149339830,2016,UGA
Pakistan,324598079,2016,PAK
Kyrgyzstan,1967870,2016,KGZ
"Tanzania, United Republic of",137020956,2016,TZA
occupied Palestinian territory,671048996,2016,PSE
Malawi,158658957,2016,MWI
Algeria,26682970,2016,DZA
Sri Lanka,13761766,2016,LKA
"Congo, The Democratic Republic of the",479738507,2016,COD
Burundi,80989260,2016,BDI
Burkina Faso,72759031,2016,BFA
Lesotho,27942430,2016,LSO
Nepal,20229337,2016,NPL
Cameroon,189281030,2016,CMR
Guinea,14982638,2016,GIN
Myanmar,191806388,2016,MMR
Marshall Islands,2846987,2016,MHL
Djibouti,30892445,2016,DJI
Philippines,22689116,2016,PHL
Greece,434115718,2016,GRC
Niger,198062523,2016,NER
Thailand,21204503,2016,THA
Rwanda,61860475,2016,RWA
Lebanon,1284743440,2016,LBN
Bahamas,657114,2016,BHS
Côte d'Ivoire,17192580,2016,CIV
Libya,101643831,2016,LBY
"Iran, Islamic Republic of",26307955,2016,IRN
Sierra Leone,26315011,2016,SLE
Solomon Islands,1739366,2016,SLB
Turkey,669532011,2016,TUR
Netherlands,726075,2016,NLD
Nigeria,463596645,2016,NGA
South Africa,5382412,2016,ZAF
Georgia,1513274,2016,GEO
Honduras,7847700,2016,HND
Gambia,2609392,2016,GMB
Viet Nam,9676433,2016,VNM
Timor-Leste,5197991,2016,TLS
"Bolivia, Plurinational State of",6548812,2016,BOL
Zambia,6129947,2016,ZMB
"Korea, Democratic People's Republic of",43778254,2016,PRK
Benin,1142705,2016,BEN
Belize,80000,2016,BLZ
"Venezuela, Bolivarian Republic of",2461802,2016,VEN
Denmark,10000000,2016,DNK
Mongolia,8087671,2016,MNG
Papua New Guinea,17090961,2016,PNG
Senegal,11167778,2016,SEN
Mauritania,38066861,2016,MRT
Eritrea,8835723,2016,ERI
Paraguay,3142484,2016,PRY
"Taiwan, Province of China",1400000,2016,TWN
"Macedonia, The Former Yugoslav Republic of",40719108,2016,MKD
Egypt,68298593,2016,EGY
Congo,25528839,2016,COG
Nicaragua,2674123,2016,NIC
Armenia,2993636,2016,ARM
Cuba,7509121,2016,CUB
Bosnia and Herzegovina,2362534,2016,BIH
Serbia,28574046,2016,SRB
Uruguay,50000,2016,URY
India,20054770,2016,IND
Kazakhstan,4294504,2016,KAZ
Panama,3584314,2016,PAN
Cambodia,11601730,2016,KHM
Vanuatu,3621309,2016,VUT
El Salvador,4945256,2016,SLV
Bulgaria,28351,2016,BGR
China,800000,2016,CHN
Lao People's Democratic Republic,2157051,2016,LAO
Dominican Republic,2521591,2016,DOM
Morocco,1725731,2016,MAR
Comoros,107227,2016,COM
Swaziland,20772118,2016,SWZ
Portugal,50000,2016,PRT
Cape Verde,5334,2016,CPV
Ghana,697992,2016,GHA
Dominica,155701,2016,DMA
Slovenia,1861034,2016,SVN
Tonga,725573,2016,TON
Western Sahara,4761029,2016,ESH
Costa Rica,1802152,2016,CRI
Croatia,1075614,2016,HRV
Albania,60693,2016,ALB
Namibia,1000000,2016,NAM
Peru,1631924,2016,PER
Tunisia,2608249,2016,TUN
Jamaica,108155,2016,JAM
"Micronesia, Federated States of",26207039,2016,FSM
Bhutan,332963,2016,BTN
Belgium,765027,2016,BEL
Guinea-Bissau,1426907,2016,GNB
"Korea, Republic of",379529,2016,KOR
Malaysia,575110,2016,MYS
Brazil,1322130,2016,BRA
Malta,254582,2016,MLT
Maldives,88333,2016,MDV
Palau,363379,2016,PLW
