#{"source_data": "2017-09-06", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-09-06", "source_url": "https://fts.unocha.org"}
organization_id,organization_name,totalFunding,plan_id,plan_code,plan_name,countryCode
5315.0,UNICEF National Committee/United Kingdom,103533,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,185084303,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
5319.0,"Spain, Government of",1923544,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
2966.0,European Commission,1415643,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4486.0,UNICEF National Committee/Hellenic,67439,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4543.0,Private (individuals & organizations),10076012,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
3001.0,International Rescue Committee,18751155,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4293.0,United Nations Population Fund,320175,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4539.0,UNICEF National Committee/Spain,246439,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
2924.0,"Switzerland, Government of",518911,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
2919.0,UNICEF National Committee/Netherlands,373488,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
2933.0,"United States of America, Government of",27400000,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4306.0,"Germany, Government of",6572399,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4758.0,Terre des Hommes International,3409702,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
3778.0,UNICEF National Committee/Germany,1327624,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
8650.0,European Commission - EU Facility for Refugees in Turkey,1437242,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
7098.0,DIOTIMA Centre of research on Women's Issues,50173,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4546.0,"Austria, Government of",48000,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
5298.0,Danish Refugee Council,7399428,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
2917.0,"United Kingdom, Government of",244720,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
3017.0,UNICEF National Committee/Italy,2060332,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4058.0,US Fund for UNICEF,475000,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
3008.0,"Netherlands, Government of",21367,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
,Not specified,64562150,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4335.0,UNICEF National Committee/Denmark,56084,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4384.0,"Luxembourg, Government of",221451,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
2920.0,Arbeiter-Samariter-Bund Deutschland e.V,2654940,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
8772.0,United Nations Voluntary Fund for Victims of Torture,49000,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,
4391.0,"Australia, Government of",15315928,544,HAFG17,Afghanistan 2017,AFG
3776.0,"Denmark, Government of",8671658,544,HAFG17,Afghanistan 2017,AFG
4306.0,"Germany, Government of",12922712,544,HAFG17,Afghanistan 2017,AFG
2928.0,"Canada, Government of",8149650,544,HAFG17,Afghanistan 2017,AFG
2933.0,"United States of America, Government of",19777469,544,HAFG17,Afghanistan 2017,AFG
2930.0,"Norway, Government of",8800839,544,HAFG17,Afghanistan 2017,AFG
4537.0,"Japan, Government of",12780717,544,HAFG17,Afghanistan 2017,AFG
850.0,Start Fund,192448,544,HAFG17,Afghanistan 2017,AFG
2924.0,"Switzerland, Government of",1873789,544,HAFG17,Afghanistan 2017,AFG
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,26242932,544,HAFG17,Afghanistan 2017,AFG
