Country,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Persons under UNHCR's statelessness mandate,Others of concern to UNHCR,Total population of concern
Afghanistan,59771,0,59771,59771,128,383951,1797551,0,0,114221,2355622
Albania,138,0,138,137,2752,0,0,0,4921,0,7811
Algeria,94232,0,94232,90227,5712,5,0,0,0,0,99949
Angola,15555,0,15555,268,30143,0,0,0,0,0,45698
Anguilla,1,0,1,1,0,0,0,0,0,0,1
Antigua and Barbuda,4,0,4,4,0,0,0,0,0,0,4
Argentina,3293,0,3293,50,3991,0,0,0,0,181,7465
Armenia,3313,14573,17886,6944,82,0,0,0,512,0,18480
Aruba,1,0,1,1,4,0,0,0,0,0,5
Australia,42188,0,42188,0,29590,0,0,0,0,0,71778
Austria,93250,0,93250,0,76409,0,0,0,937,0,170596
Azerbaijan,1193,0,1193,1193,230,0,613129,0,3585,0,618137
Bahamas,13,0,13,13,18,0,0,0,0,0,31
Bahrain,271,0,271,271,111,0,0,0,0,0,382
Bangladesh,33207,243000,276207,33207,1,0,0,0,0,0,276208
Barbados,0,0,0,0,2,0,0,0,0,0,2
Belarus,1650,0,1650,511,231,0,0,0,6182,0,8063
Belgium,42168,0,42168,0,24111,0,0,0,2630,0,68909
Belize,0,0,0,0,2431,0,0,0,0,1709,4140
Benin,809,0,809,809,226,0,0,0,0,0,1035
Bermuda,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),786,0,786,154,3,0,0,0,0,0,789
"Bonaire, Saint Eustatius and Saba ",0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,5271,0,5271,5271,53,5,98324,0,49,52437,156139
Botswana,2093,0,2093,2093,80,0,0,0,0,659,2832
Brazil,9689,0,9689,1829,35464,0,0,0,4,22930,68087
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,20524,0,20524
Bulgaria,17814,0,17814,17814,16042,0,0,0,67,0,33923
Burkina Faso,32552,0,32552,32552,124,0,0,0,0,0,32676
Burundi,57469,0,57469,57469,3613,4117,141221,0,974,655,208049
Cabo Verde,0,0,0,0,0,0,0,0,115,0,115
Cambodia,66,0,66,64,177,0,0,0,0,0,243
Cameroon,348672,26743,375415,375415,3251,134,198889,18213,0,33,595935
Canada,97332,0,97332,0,23935,0,0,0,0,0,121267
Cayman Islands,18,0,18,6,24,0,0,0,0,0,42
Central African Rep.,12115,0,12115,11376,304,34403,411785,0,0,0,458607
Chad,391251,0,391251,379266,1909,28,124342,0,0,36718,554248
Chile,1737,0,1737,59,3223,0,0,0,0,0,4960
China,317255,0,317255,158,668,0,0,0,0,0,317923
"China, Hong Kong SAR",110,0,110,0,0,0,0,0,0,0,110
"China, Macao SAR",0,0,0,0,5,0,0,0,0,0,5
Colombia,258,0,258,67,386,204,7410816,0,11,0,7411675
Comoros,0,0,0,0,0,0,0,0,0,0,0
"Congo, Republic of",46457,0,46457,46457,6675,11,15303,0,0,3152,71598
Costa Rica,4180,0,4180,4180,3646,0,0,0,127,0,7953
Côte d'Ivoire,1399,0,1399,1399,284,19552,0,0,694000,118,715353
Croatia,304,0,304,304,557,44,0,0,2873,14518,18296
Cuba,316,0,316,202,27,0,0,0,0,0,343
Curaçao ,54,0,54,54,57,0,0,0,0,0,111
Cyprus,8484,0,8484,572,3088,0,0,0,0,6000,17572
Czechia,3644,0,3644,0,775,0,0,0,1502,0,5921
Dem. Rep. of the Congo,451956,0,451956,343904,1327,13223,2232900,619600,0,0,3319006
Denmark,33507,0,33507,0,6339,0,0,0,7610,0,47456
Djibouti,17683,0,17683,17683,8061,0,0,0,0,118,25862
Dominica,0,0,0,0,0,0,0,0,0,0,0
Dominican Rep.,592,0,592,592,796,0,0,0,0,0,1388
Ecuador,60524,42324,102848,18950,24542,0,0,0,0,0,127390
Egypt,213530,0,213530,143530,49877,0,0,0,19,0,263426
El Salvador,45,0,45,45,1,0,0,0,0,9800,9846
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0
Eritrea,2342,0,2342,2342,8,1,0,0,0,16,2367
Estonia,322,0,322,0,43,0,0,0,82585,0,82950
Ethiopia,791631,0,791631,791631,1964,1,0,0,0,537,794133
Fiji,12,0,12,12,2,0,0,0,0,0,14
Finland,18401,0,18401,0,5600,0,0,0,2671,0,26672
France,304546,0,304546,0,62771,0,0,0,1370,0,368687
Gabon,931,0,931,931,1909,1,0,0,0,0,2841
Gambia,7940,0,7940,7940,0,0,0,0,0,0,7940
Georgia,1513,612,2125,941,312,0,273765,0,580,0,276782
Germany,669482,0,669482,0,587346,0,0,0,12017,0,1268845
Ghana,11865,0,11865,11865,1371,0,0,0,0,0,13236
Greece,21484,24943,46427,0,39986,0,0,0,198,0,86611
Grenada,1,0,1,1,0,0,0,0,0,0,1
Guatemala,300,0,300,217,2,0,0,0,0,23900,24202
Guinea,5068,0,5068,5068,108,0,0,0,0,0,5176
Guinea-Bissau,9263,0,9263,9263,32,0,0,0,0,0,9295
Guyana,11,0,11,11,0,0,0,0,0,0,11
Haiti,5,0,5,5,5,0,0,0,2302,0,2312
Honduras,16,0,16,12,10,0,174000,0,0,4800,178826
Hungary,4748,0,4748,67,3413,0,0,0,135,0,8296
Iceland,179,0,179,0,161,0,0,0,131,0,471
India,197851,0,197851,24594,9219,0,0,0,0,0,207070
Indonesia,7827,0,7827,7827,6578,0,0,0,0,0,14405
Iran (Islamic Rep. of),979435,0,979435,979435,91,11,0,0,0,0,979537
Iraq,261888,0,261888,261888,11458,157,3604285,1397016,48200,3162,5326166
Ireland,5731,0,5731,98,4322,0,0,0,99,0,10152
Israel,411,32535,32946,4781,11677,0,0,0,42,0,44665
Italy,147370,0,147370,0,99921,0,0,0,701,0,247992
Jamaica,15,0,15,15,9,0,0,0,0,0,24
Japan,2514,0,2514,386,18801,0,0,0,626,0,21941
Jordan,685197,0,685197,685197,35615,0,0,0,0,0,720812
Kazakhstan,653,0,653,653,137,0,0,0,8451,0,9241
Kenya,451099,0,451099,451099,43764,4,0,0,20000,0,514867
Kuwait,939,0,939,818,823,0,0,0,93000,0,94762
Kyrgyzstan,339,0,339,337,120,0,0,0,2334,0,2793
Lao People's Dem. Rep.,0,0,0,0,0,0,0,0,0,0,0
Latvia,349,0,349,0,148,0,0,0,242736,0,243233
Lebanon,1012969,0,1012969,1012969,13745,0,0,0,0,4589,1031303
Lesotho,45,0,45,0,3,0,0,0,0,0,48
Liberia,18990,0,18990,18990,17,0,0,0,0,1479,20486
Libya,9310,0,9310,8310,29237,0,174510,449840,0,0,662897
Liechtenstein,163,0,163,0,79,0,0,0,0,0,242
Lithuania,1093,0,1093,0,82,0,0,0,3466,0,4641
Luxembourg,2046,0,2046,0,2213,0,0,0,83,0,4342
Madagascar,28,0,28,28,27,0,0,0,0,0,55
Malawi,9392,0,9392,9392,21023,0,0,0,0,0,30415
Malaysia,92054,209,92263,92263,56311,0,0,0,10931,80000,239505
Mali,17512,0,17512,17512,301,9758,36690,35986,0,0,100247
Malta,7948,0,7948,3515,902,0,0,0,0,0,8850
Mauritania,48148,26000,74148,48148,587,0,0,0,0,0,74735
Mauritius,0,0,0,0,5,0,0,0,0,0,5
Mexico,6202,0,6202,866,2647,0,0,0,13,0,8862
Micronesia (Federated States of),4,0,4,4,0,0,0,0,0,0,4
Monaco,32,0,32,0,0,0,0,0,0,0,32
Mongolia,8,0,8,8,3,0,0,0,14,2,27
Montenegro,974,0,974,728,82,0,0,0,3237,11451,15744
Montserrat,0,0,0,0,0,0,0,0,0,0,0
Morocco,4771,0,4771,4771,1962,0,0,0,0,0,6733
Mozambique,4671,0,4671,2658,12980,5755,15128,0,0,0,38534
Myanmar,0,0,0,0,0,74,375016,1346,925939,0,1302375
Namibia,1757,0,1757,1757,1675,8,0,0,0,50,3490
Nauru,506,0,506,0,302,0,0,0,0,0,808
Nepal,25249,0,25249,24483,72,0,0,0,0,849,26170
Netherlands,101744,0,101744,0,10411,0,0,0,1951,0,114106
New Zealand,1421,0,1421,0,303,0,0,0,0,0,1724
Nicaragua,331,0,331,234,334,0,0,0,1,1,667
Niger,166093,0,166093,166093,65,0,121391,0,0,14678,302227
Nigeria,1367,0,1367,1367,467,0,2219272,689906,0,0,2911012
Norway,59522,0,59522,0,7556,0,0,0,3251,0,70329
Oman,317,0,317,317,366,0,0,0,0,0,683
Pakistan,1352560,0,1352560,1352560,4856,7,448956,704370,0,0,2510749
Palau,1,0,1,1,3,0,0,0,0,0,4
